ParticipantID,Condition,Trial,Image,CorrectEmotion,Response,Accuracy,RT
3,vanilla,1,FACES\168_m_f_s_a.jpg,sadness,disgust,0,107.79212000011466
3,vanilla,2,FACES\066_y_m_f_b.jpg,fear,fear,1,10.143401299836114
3,vanilla,3,FACES\116_m_m_s_b.jpg,sadness,sadness,1,4.593954699812457
3,vanilla,4,FACES\140_y_f_d_a.jpg,disgust,disgust,1,2.4867138999979943
3,vanilla,5,FACES\079_o_f_s_b.jpg,sadness,disgust,0,5.5838270001113415
3,vanilla,6,FACES\116_m_m_d_b.jpg,disgust,disgust,1,7.0094162998721
3,vanilla,7,FACES\116_m_m_n_b.jpg,neutrality,neutrality,1,2.4981102000456303
3,vanilla,8,FACES\004_o_m_d_b.jpg,disgust,disgust,1,4.3301446998957545
3,vanilla,9,FACES\116_m_m_f_a.jpg,fear,fear,1,4.730429999995977
3,vanilla,10,FACES\004_o_m_a_b.jpg,anger,disgust,0,6.56830559996888
3,vanilla,11,FACES\079_o_f_f_a.jpg,fear,fear,1,2.8587387001607567
3,vanilla,12,FACES\066_y_m_n_a.jpg,neutrality,neutrality,1,3.400744700105861
3,vanilla,13,FACES\066_y_m_a_a.jpg,anger,anger,1,1.7543046998325735
3,vanilla,14,FACES\079_o_f_h_b.jpg,happiness,happiness,1,2.2660622999537736
3,vanilla,15,FACES\140_y_f_a_b.jpg,anger,anger,1,4.256234000204131
3,vanilla,16,FACES\004_o_m_s_a.jpg,sadness,sadness,1,4.778527999995276
3,vanilla,17,FACES\168_m_f_h_a.jpg,happiness,happiness,1,2.8726335999090225
3,vanilla,18,FACES\079_o_f_n_a.jpg,neutrality,neutrality,1,1.6668596998788416
3,vanilla,19,FACES\004_o_m_d_a.jpg,disgust,disgust,1,3.3359223001170903
3,vanilla,20,FACES\066_y_m_s_a.jpg,sadness,sadness,1,2.0990435001440346
