ParticipantID,Condition,Trial,Image,CorrectEmotion,Response,Accuracy,RT
12,neutral,1,FACES\116_m_m_a_a.jpg,anger,anger,1,7.067609600024298
12,neutral,2,FACES\116_m_m_f_a.jpg,fear,fear,1,8.685722100082785
12,neutral,3,FACES\140_y_f_d_b.jpg,disgust,disgust,1,1.9299832000397146
12,neutral,4,FACES\168_m_f_d_a.jpg,disgust,disgust,1,9.999895999906585
12,neutral,5,FACES\004_o_m_f_b.jpg,fear,fear,1,5.111557599855587
12,neutral,6,FACES\004_o_m_d_b.jpg,disgust,anger,0,6.011612900067121
12,neutral,7,FACES\004_o_m_a_b.jpg,anger,sadness,0,3.0203174999915063
12,neutral,8,FACES\066_y_m_s_b.jpg,sadness,sadness,1,2.9877902001608163
12,neutral,9,FACES\140_y_f_s_b.jpg,sadness,sadness,1,4.1742964999284595
12,neutral,10,FACES\004_o_m_d_a.jpg,disgust,happiness,0,15.58281150017865
12,neutral,11,FACES\079_o_f_h_b.jpg,happiness,fear,0,1.6633860999718308
12,neutral,12,FACES\066_y_m_n_a.jpg,neutrality,neutrality,1,2.806253500049934
12,neutral,13,FACES\140_y_f_f_b.jpg,fear,fear,1,3.939556600060314
12,neutral,14,FACES\116_m_m_a_b.jpg,anger,sadness,0,8.22402140009217
12,neutral,15,FACES\168_m_f_h_a.jpg,happiness,happiness,1,2.542551500024274
12,neutral,16,FACES\140_y_f_n_a.jpg,neutrality,neutrality,1,2.361955299973488
12,neutral,17,FACES\140_y_f_h_a.jpg,happiness,happiness,1,3.6666710001882166
12,neutral,18,FACES\079_o_f_a_b.jpg,anger,anger,1,8.957906200084835
12,neutral,19,FACES\066_y_m_n_b.jpg,neutrality,happiness,0,5.560017300071195
12,neutral,20,FACES\168_m_f_a_a.jpg,anger,sadness,0,2.417844400042668
