ParticipantID,Condition,Trial,Image,CorrectEmotion,Response,Accuracy,RT
9,neutral,1,FACES\140_y_f_n_a.jpg,neutrality,neutrality,1,45.49198699998669
9,neutral,2,FACES\140_y_f_f_a.jpg,fear,fear,1,6.962890200084075
9,neutral,3,FACES\004_o_m_n_a.jpg,neutrality,neutrality,1,12.015357800060883
9,neutral,4,FACES\140_y_f_d_b.jpg,disgust,fear,0,19.27397429989651
9,neutral,5,FACES\168_m_f_s_b.jpg,sadness,sadness,1,5.082020700210705
9,neutral,6,FACES\079_o_f_h_b.jpg,happiness,happiness,1,3.65399880008772
9,neutral,7,FACES\140_y_f_a_b.jpg,anger,anger,1,3.270419699838385
9,neutral,8,FACES\079_o_f_a_a.jpg,anger,anger,1,8.631879099877551
9,neutral,9,FACES\140_y_f_h_a.jpg,happiness,happiness,1,2.999146099900827
9,neutral,10,FACES\004_o_m_n_b.jpg,neutrality,happiness,0,18.31545290001668
9,neutral,11,FACES\168_m_f_f_a.jpg,fear,anger,0,3.5224450000096112
9,neutral,12,FACES\079_o_f_d_b.jpg,disgust,anger,0,7.702140799956396
9,neutral,13,FACES\066_y_m_s_b.jpg,sadness,disgust,0,9.350554200122133
9,neutral,14,FACES\004_o_m_a_b.jpg,anger,anger,1,2.433106099953875
9,neutral,15,FACES\066_y_m_a_b.jpg,anger,fear,0,2.435826900182292
9,neutral,16,FACES\066_y_m_h_b.jpg,happiness,happiness,1,2.6699957998935133
9,neutral,17,FACES\116_m_m_n_b.jpg,neutrality,sadness,0,6.816633000038564
9,neutral,18,FACES\079_o_f_f_a.jpg,fear,fear,1,7.750129299936816
9,neutral,19,FACES\079_o_f_s_b.jpg,sadness,sadness,1,6.062335099792108
9,neutral,20,FACES\079_o_f_h_a.jpg,happiness,happiness,1,1.6993535999208689
