ParticipantID,Condition,Trial,Image,CorrectEmotion,Response,Accuracy,RT
14,neutral,1,FACES\066_y_m_a_a.jpg,anger,disgust,0,10.02603939990513
14,neutral,2,FACES\079_o_f_d_b.jpg,disgust,disgust,1,3.38512310013175
14,neutral,3,FACES\116_m_m_n_b.jpg,neutrality,neutrality,1,3.4163297000341117
14,neutral,4,FACES\066_y_m_s_a.jpg,sadness,sadness,1,6.070798400091007
14,neutral,5,FACES\116_m_m_d_a.jpg,disgust,anger,0,2.1108387999702245
14,neutral,6,FACES\140_y_f_n_b.jpg,neutrality,neutrality,1,4.883755000075325
14,neutral,7,FACES\066_y_m_f_a.jpg,fear,fear,1,2.426931400084868
14,neutral,8,FACES\168_m_f_d_a.jpg,disgust,sadness,0,3.3402128000743687
14,neutral,9,FACES\004_o_m_n_a.jpg,neutrality,neutrality,1,3.9976814999245107
14,neutral,10,FACES\168_m_f_s_a.jpg,sadness,sadness,1,2.263454900123179
14,neutral,11,FACES\116_m_m_s_a.jpg,sadness,sadness,1,1.7343713999725878
14,neutral,12,FACES\168_m_f_h_b.jpg,happiness,happiness,1,2.860273800091818
14,neutral,13,FACES\079_o_f_n_a.jpg,neutrality,neutrality,1,2.0633973001968116
14,neutral,14,FACES\140_y_f_a_b.jpg,anger,anger,1,2.826032300014049
14,neutral,15,FACES\140_y_f_f_a.jpg,fear,fear,1,5.831593699986115
14,neutral,16,FACES\066_y_m_h_a.jpg,happiness,happiness,1,2.301802200032398
14,neutral,17,FACES\079_o_f_h_b.jpg,happiness,happiness,1,3.667670799884945
14,neutral,18,FACES\079_o_f_s_a.jpg,sadness,disgust,0,4.648830399848521
14,neutral,19,FACES\004_o_m_s_a.jpg,sadness,fear,0,3.0826113000512123
14,neutral,20,FACES\079_o_f_a_a.jpg,anger,anger,1,5.981609999900684
