ParticipantID,Condition,Trial,Image,CorrectEmotion,Response,Accuracy,RT
AZ,vanilla,1,FACES\066_y_m_n_b.jpg,neutrality,sadness,0,10.273658599937335
AZ,vanilla,2,FACES\140_y_f_f_b.jpg,fear,fear,1,2.6823972000274807
AZ,vanilla,3,FACES\168_m_f_f_a.jpg,fear,fear,1,2.4294702999759465
AZ,vanilla,4,FACES\066_y_m_f_b.jpg,fear,fear,1,2.7469385999720544
AZ,vanilla,5,FACES\079_o_f_h_a.jpg,happiness,happiness,1,2.863148800097406
AZ,vanilla,6,FACES\116_m_m_f_a.jpg,fear,fear,1,1.9209751999005675
AZ,vanilla,7,FACES\079_o_f_s_a.jpg,sadness,anger,0,7.015890399925411
AZ,vanilla,8,FACES\140_y_f_h_a.jpg,happiness,happiness,1,3.131386399967596
AZ,vanilla,9,FACES\140_y_f_a_a.jpg,anger,anger,1,2.3235701001249254
AZ,vanilla,10,FACES\079_o_f_f_b.jpg,fear,anger,0,5.191243400098756
AZ,vanilla,11,FACES\168_m_f_n_a.jpg,neutrality,neutrality,1,3.0004676999524236
AZ,vanilla,12,FACES\140_y_f_n_b.jpg,neutrality,neutrality,1,1.9083082999568433
AZ,vanilla,13,FACES\066_y_m_n_a.jpg,neutrality,disgust,0,3.5245431000366807
AZ,vanilla,14,FACES\116_m_m_f_b.jpg,fear,fear,1,4.794181399978697
AZ,vanilla,15,FACES\168_m_f_s_a.jpg,sadness,sadness,1,18.461501500103623
AZ,vanilla,16,FACES\168_m_f_h_b.jpg,happiness,happiness,1,1.6780193999875337
AZ,vanilla,17,FACES\140_y_f_s_b.jpg,sadness,sadness,1,2.2905888999812305
AZ,vanilla,18,FACES\004_o_m_s_a.jpg,sadness,sadness,1,4.46787040005438
AZ,vanilla,19,FACES\066_y_m_d_a.jpg,disgust,disgust,1,4.120753600029275
AZ,vanilla,20,FACES\116_m_m_s_b.jpg,sadness,sadness,1,3.4794725000392646
